id	GENCODE	chromHMM	CAGE
TRANS_XXd2_chr1_plus_NR2	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR3	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR4	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR5	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR6	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR7	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR8	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR9	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR10	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR11	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR12	FALSE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR13	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR14	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR15	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR16	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR17	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR18	FALSE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR19	FALSE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR20	TRUE	FALSE	TRUE
TRANS_XXd2_chr1_plus_NR21	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR22	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR23	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR24	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR25	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR26	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR27	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR28	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR29	FALSE	enhancer	FALSE
TRANS_XXd2_chr1_plus_NR30	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR31	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR32	FALSE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR33	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR34	TRUE	FALSE	TRUE
TRANS_XXd2_chr1_plus_NR35	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR36	FALSE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR37	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR38	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR39	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR40	TRUE	FALSE	TRUE
TRANS_XXd2_chr1_plus_NR41	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR42	FALSE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR43	TRUE	FALSE	TRUE
TRANS_XXd2_chr1_plus_NR44	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR45	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR46	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR47	TRUE	enhancer	FALSE
TRANS_XXd2_chr1_plus_NR48	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR49	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR50	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR51	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR52	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR53	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR54	TRUE	FALSE	TRUE
TRANS_XXd2_chr1_plus_NR55	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR56	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR57	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR58	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR59	FALSE	enhancer	FALSE
TRANS_XXd2_chr1_plus_NR60	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR61	FALSE	enhancer	FALSE
TRANS_XXd2_chr1_plus_NR62	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR63	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR64	FALSE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR65	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR66	TRUE	FALSE	FALSE
TRANS_XXd2_chr1_plus_NR67	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR68	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR69	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR70	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR71	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR72	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR73	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR74	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR75	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR76	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR77	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR78	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR79	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR80	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR81	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR82	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR83	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR84	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR85	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR86	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR87	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR88	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR89	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR90	TRUE	promoter	TRUE
TRANS_XXd2_chr1_plus_NR91	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR92	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR93	TRUE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR94	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR95	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR96	FALSE	promoter	FALSE
TRANS_XXd2_chr1_plus_NR97	TRUE	FALSE	FALSE
